chembl_id,organism,pref_name,chembl_id,pchembl_value,canonical_smiles
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL553515,4.38,Cl.COc1ccccc1c2nc3cc[nH]cc3n2
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL28597,4.43,Oc1ccccc1c2nc3ccc[nH]c3n2
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL28240,4.4,CC(=O)Oc1ccccc1c2nc3ccc[nH]c3n2
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL432659,4.48,CCCOc1ccccc1c2cn3cccnc3n2
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL31964,4.19,OCCOc1ccccc1c2nc3ccc[nH]c3n2
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL543042,4.47,Cl.COc1ccccc1c2nc3ccc[nH]c3n2
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL2110680,4.24,COc1cc(ccc1c2nc3cnccc3[nH]2)[S+](C)[O-]
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL275084,4.2,CC(C)CN1C(=O)N(C)C(=O)c2nc[nH]c12
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL340558,4.44,OCc1oc(cc1)c2nn(c3ccccc3)c4ccccc24
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL121831,4.2,CCN(CC)Cc1oc(cc1)c2nn(Cc3ccccc3)c4ccccc24
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL333985,4.5,OCc1oc(cc1)c2nn(Cc3ccccc3)c4ccccc24
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL536785,4.4,Cl.COc1cc2cc(CO)c(CO)c(c3ccc(nc3)N4N=C(c5cccnc5)c6ccccc6C4=O)c2cc1OC
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL12599,4.4,COc1cc2cc(CO)c(CO)c(c3ccnc(c3)N4C=CC=CC4=O)c2cc1OC
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL91064,4.28,COc1cc2cc(CO)c(CO)c(c3cc(OC)c(OC)c(c3)S(=O)(=O)C)c2cc1OC
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL92043,4,COc1cc2cc(CO)c(CO)c(c3cc(NC(=O)C)c(OC)c(OC)c3)c2cc1OC
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL113368,4.04,COc1cc2CCN3C(=O)CN=C(c4ccccc4)c(n1)c23
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL112996,4.02,COc1cc2CCN3C(=O)C(NC(=O)c4cccnc4)N=C(c5ccccc5)c(n1)c23
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL553934,4.24,Cl.COc1ccc(CNc2nnc(N3CCC(O)CC3)c4ccc(cc24)C(=O)N(C)C)cc1Cl
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL45934,4.46,COc1ccc(cc1OC2CCCC2)C(=O)Nc3ccccc3C#N
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL45687,4.19,COc1ccc(cc1OC2CCCC2)C(=O)Nc3ccccc3[N+](=O)[O-]
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL358721,4.31,Nc1nc2N(CC3CC3)C(=O)N(CC4CC4)C(=O)c2n1S(=O)(=O)c5ccc(cc5)C(F)(F)F
